סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
4008 ,מעלה גמלא ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,616 ,75 ,151 ,237 ,39 ,37 ,77
4009 ,שעל ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,364 ,53 ,84 ,134 ,18 ,34 ,41
4010 ,אודם ,29 ,גולן ,21 ,צפת ,71 ,גולן ,193 ,37 ,31 ,75 ,8 ,21 ,21
4011 ,אבני איתן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,825 ,131 ,280 ,300 ,33 ,34 ,47
4012 ,אניעם ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,569 ,24 ,107 ,225 ,92 ,65 ,56
4013 ,אורטל ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,372 ,34 ,81 ,158 ,42 ,43 ,14
4014 ,נטור ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,551 ,73 ,210 ,190 ,50 ,24 ,4
4015 ,בני יהודה ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,1313 ,91 ,278 ,435 ,162 ,141 ,206
4017 ,אלוני הבשן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,439 ,48 ,174 ,156 ,21 ,32 ,8
4019 ,מיצר ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,235 ,53 ,62 ,91 ,17 ,10 ,2
4021 ,גבעת יואב ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,748 ,65 ,199 ,249 ,86 ,34 ,115
4022 ,גשור ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,327 ,28 ,77 ,118 ,46 ,44 ,14
4024 ,קלע ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,368 ,35 ,91 ,129 ,53 ,26 ,34
4025 ,קדמת צבי ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,609 ,78 ,120 ,250 ,52 ,65 ,44
4026 ,חד-נס ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,922 ,58 ,185 ,332 ,158 ,109 ,80
4028 ,כנף ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,497 ,31 ,134 ,191 ,75 ,64 ,2
4035 ,נמרוד , , , , , , ,20 ,0 ,3 ,9 ,5 ,2 ,1
4100 ,קצרין ,29 ,גולן ,22 ,טבריה ,0 , ,8724 ,590 ,1736 ,2925 ,1069 ,885 ,1519
4101 ,מרום גולן ,29 ,גולן ,21 ,צפת ,71 ,גולן ,833 ,56 ,191 ,277 ,132 ,70 ,107
4201 ,מג'דל שמס ,29 ,גולן ,21 ,צפת ,0 , ,11558 ,831 ,2539 ,4702 ,1675 ,910 ,901
4203 ,מסעדה ,29 ,גולן ,21 ,צפת ,0 , ,4173 ,319 ,1069 ,1658 ,536 ,279 ,312
4204 ,מבוא חמה ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,604 ,57 ,131 ,203 ,62 ,40 ,111
4301 ,אפיק ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,390 ,35 ,81 ,139 ,35 ,42 ,58
4303 ,נווה אטי"ב ,29 ,גולן ,21 ,צפת ,71 ,גולן ,220 ,23 ,37 ,79 ,20 ,18 ,43
4304 ,נוב ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,1018 ,131 ,352 ,353 ,57 ,35 ,90
4501 ,ע'ג'ר ,29 ,גולן ,21 ,צפת ,0 , ,2754 ,258 ,748 ,1251 ,254 ,135 ,108
4502 ,עין קנייא ,29 ,גולן ,21 ,צפת ,0 , ,2454 ,200 ,579 ,1012 ,323 ,166 ,174
4503 ,עין זיוון ,29 ,גולן ,21 ,צפת ,71 ,גולן ,466 ,54 ,111 ,163 ,59 ,27 ,52
4551 ,נאות גולן ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,681 ,59 ,188 ,230 ,78 ,52 ,74
4701 ,רמת מגשימים ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,807 ,88 ,261 ,275 ,56 ,54 ,73
4702 ,רמות ,29 ,גולן ,22 ,טבריה ,71 ,גולן ,650 ,50 ,170 ,191 ,91 ,25 ,123
5000 ,תל אביב - יפו ,51 ,תל אביב ,51 ,ת"א - מרכז ,0 , ,559625 ,35771 ,70697 ,224108 ,67452 ,49869 ,111728
6000 ,באקה אל-גרביה ,32 ,חדרה ,32 ,חדרה ,0 , ,30692 ,2958 ,7893 ,12737 ,3249 ,2062 ,1793
6100 ,בני ברק ,52 ,רמת גן ,54 ,בני ברק ,0 , ,215335 ,37030 ,64758 ,72296 ,13042 ,10091 ,18118
6200 ,בת ים ,53 ,חולון ,53 ,חולון ,0 , ,156580 ,8403 ,20610 ,48176 ,20356 ,17198 ,41837
6300 ,גבעתיים ,52 ,רמת גן ,52 ,רמת גן ,0 , ,63617 ,4832 ,9585 ,23272 ,7968 ,5285 ,12675
6400 ,הרצליה ,51 ,תל אביב ,57 ,הרצליה ,0 , ,111843 ,7271 ,18052 ,36469 ,14219 ,10620 ,25212
6500 ,חדרה ,32 ,חדרה ,32 ,חדרה ,0 , ,106669 ,8981 ,19423 ,36926 ,12244 ,10198 ,18897
6600 ,חולון ,53 ,חולון ,53 ,חולון ,0 , ,212955 ,15038 ,36684 ,68809 ,26242 ,20420 ,45762
6700 ,טבריה ,22 ,כנרת ,22 ,טבריה ,0 , ,50625 ,5369 ,9536 ,17793 ,5283 ,4815 ,7829
6800 ,קרית אתא ,31 ,חיפה ,31 ,חיפה ,0 , ,64085 ,5058 ,11163 ,21829 ,7351 ,6488 ,12196
6900 ,כפר סבא ,42 ,פתח תקווה ,47 ,כפר סבא ,0 , ,110873 ,7950 ,20738 ,35235 ,13811 ,9681 ,23458
7000 ,לוד ,43 ,רמלה ,43 ,רמלה ,0 , ,87356 ,9908 ,19122 ,30649 ,8832 ,6689 ,12156
7100 ,אשקלון ,61 ,אשקלון ,61 ,אשקלון ,0 , ,160695 ,13790 ,29209 ,55981 ,17647 ,15380 ,28688
7200 ,נס ציונה ,44 ,רחובות ,44 ,רחובות ,0 , ,49706 ,3539 ,12019 ,15873 ,7207 ,3910 ,7158
7300 ,נצרת ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,82484 ,6542 ,17365 ,33501 ,9720 ,7200 ,8156
7400 ,נתניה ,41 ,השרון ,41 ,נתניה ,0 , ,255367 ,19212 ,45230 ,83354 ,28889 ,24001 ,54681
7500 ,סח'נין ,24 ,עכו ,24 ,עכו ,0 , ,33615 ,3201 ,8208 ,14234 ,3926 ,2170 ,1876
7600 ,עכו ,24 ,עכו ,24 ,עכו ,0 , ,56864 ,4259 ,10186 ,20550 ,6426 ,5892 ,9551
7700 ,עפולה ,23 ,עפולה ,23 ,עפולה ,0 , ,61202 ,6438 ,10985 ,21896 ,6235 ,5614 ,10034
7800 ,פרדס חנה-כרכור ,32 ,חדרה ,32 ,חדרה ,0 , ,45762 ,4014 ,10574 ,15113 ,6071 ,3818 ,6172
7900 ,פתח תקווה ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,274231 ,22885 ,54865 ,91590 ,33802 ,22412 ,48677
8000 ,צפת ,21 ,צפת ,21 ,צפת ,0 , ,39890 ,5196 ,10392 ,13548 ,3208 ,2916 ,4630
8200 ,קרית מוצקין ,31 ,חיפה ,31 ,חיפה ,0 , ,51708 ,3860 ,7944 ,17194 ,6021 ,4827 ,11862
8300 ,ראשון לציון ,44 ,רחובות ,46 ,ראשון לציון ,0 , ,273196 ,18831 ,43909 ,95370 ,34317 ,27253 ,53516
8400 ,רחובות ,44 ,רחובות ,44 ,רחובות ,0 , ,156982 ,14576 ,32684 ,53336 ,17460 ,12051 ,26875
8500 ,רמלה ,43 ,רמלה ,43 ,רמלה ,0 , ,82643 ,8093 ,17389 ,30163 ,8577 ,7124 ,11297
8600 ,רמת גן ,52 ,רמת גן ,52 ,רמת גן ,0 , ,174158 ,11761 ,24304 ,63540 ,21396 ,16493 ,36664
8700 ,רעננה ,42 ,פתח תקווה ,47 ,כפר סבא ,0 , ,91926 ,5881 ,17077 ,29495 ,12223 ,8813 ,18437
8800 ,שפרעם ,24 ,עכו ,25 ,נוף הגליל ,0 , ,42392 ,3350 ,9263 ,17629 ,5339 ,3578 ,3233
8900 ,טמרה ,24 ,עכו ,24 ,עכו ,0 , ,35180 ,3172 ,8576 ,14776 ,4011 ,2521 ,2124
9000 ,באר שבע ,62 ,באר שבע ,62 ,באר שבע ,0 , ,223074 ,17586 ,39127 ,78743 ,24623 ,22108 ,40887
9100 ,נהריה ,24 ,עכו ,24 ,עכו ,0 , ,68831 ,4576 ,11555 ,22879 ,9039 ,6993 ,13789
9200 ,בית שאן ,23 ,עפולה ,23 ,עפולה ,0 , ,21165 ,2031 ,4414 ,7915 ,2183 ,2021 ,2601
9300 ,זכרון יעקב ,32 ,חדרה ,32 ,חדרה ,0 , ,25234 ,1727 ,5830 ,8090 ,3527 ,2618 ,3442
9400 ,יהוד-מונוסון ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,31977 ,2349 ,6204 ,10478 ,4195 ,2948 ,5803
9500 ,קרית ביאליק ,31 ,חיפה ,31 ,חיפה ,0 , ,46529 ,3257 ,7352 ,15597 ,5407 ,4467 ,10449
9600 ,קרית ים ,31 ,חיפה ,31 ,חיפה ,0 , ,45545 ,2317 ,6270 ,14244 ,5439 ,5223 ,12052
9700 ,הוד השרון ,42 ,פתח תקווה ,47 ,כפר סבא ,0 , ,67450 ,5276 ,14432 ,21920 ,9439 ,5982 ,10401
9800 ,בנימינה-גבעת עדה ,32 ,חדרה ,32 ,חדרה ,0 , ,16007 ,1107 ,4263 ,5062 ,2603 ,1303 ,1669
